Temps,text
Mon Dec 14 17:14:56 +0000 2020,"JimJordan Why does the Wayback Machine show that Burisma had Joe Biden\u2019s photo on their website in 2014? https:\/\/t.co\/PryOwLIyYS""""displaytextrange"":12106""source"":""\u003ca href=\""http:\/\/twitter.com\/download\/iphone\"" rel=\""nofollow\""\u003eTwitter for iPhone\u003c\/a\u003e""""truncated"":false""inreplytostatusid"":1338499351539277825""inreplytostatusidstr"":""1338499351539277825""""inreplytouserid"":18166778""inreplytouseridstr"":""18166778""""inreplytoscreenname"":""JimJordan""""user"":""id"":2419872751""idstr"":""2419872751""""name"":""Pedagogicz""""screenname"":""pedagogicz""""location"":null""url"":null""description"":""PhD in the Education field. I only use \u2018Dr\u2019 in my professional work and academic writing. I do not expect society in general to use Dr when using my name.""""translatortype"":""none""""protected"":false""verified"":false""followerscount"":25""friendscount"":556""listedcount"":0""favouritescount"":2543""statusescount"":343""createdat"":""Mon Mar 31 02:45:59 +0000 2014""""utcoffset"":null""timezone"":null""geoenabled"":false""lang"":null""contributorsenabled"":false""istranslator"":false""profilebackgroundcolor"":""C0DEED""""profilebackgroundimageurl"":""http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""""profilebackgroundimageurlhttps"":""https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""""profilebackgroundtile"":false""profilelinkcolor"":""1DA1F2""""profilesidebarbordercolor"":""C0DEED""""profilesidebarfillcolor"":""DDEEF6""""profiletextcolor"":""333333""""profileusebackgroundimage"":true""profileimageurl"":""http:\/\/pbs.twimg.com\/profileimages\/1307115602264420354\/HFRnWBgLnormal.jpg""""profileimageurlhttps"":""https:\/\/pbs.twimg.com\/profileimages\/1307115602264420354\/HFRnWBgLnormal.jpg""""defaultprofile"":true""defaultprofileimage"":false""following"":null""followrequestsent"":null""notifications"":null""geo"":null""coordinates"":null""place"":null""contributors"":null""isquotestatus"":false""quotecount"":0""replycount"":0""retweetcount"":0""favoritecount"":0""entities"":""hashtags"":""urls"":""usermentions"":""screenname"":""JimJordan""""name"":""Rep. Jim Jordan""""id"":18166778""idstr"":""18166778""""indices"":011""symbols"":""media"":""id"":1338532938842075138""idstr"":""1338532938842075138""""indices"":107130""mediaurl"":""http:\/\/pbs.twimg.com\/media\/EpNsnbPXcAIj8ri.jpg""""mediaurlhttps"":""https:\/\/pbs.twimg.com\/media\/EpNsnbPXcAIj8ri.jpg""""url"":""https:\/\/t.co\/PryOwLIyYS""""displayurl"":""pic.twitter.com\/PryOwLIyYS""""expandedurl"":""https:\/\/twitter.com\/pedagogicz\/status\/1338532942809849860\/photo\/1""""type"":""photo""""sizes"":""thumb"":""w"":150""h"":150""resize"":""crop""""small"":""w"":603""h"":680""resize"":""fit""""medium"":""w"":1064""h"":1200""resize"":""fit""""large"":""w"":1125""h"":1269""resize"":""fit""""extendedentities"":""media"":""id"":1338532938842075138""idstr"":""1338532938842075138""""indices"":107130""mediaurl"":""http:\/\/pbs.twimg.com\/media\/EpNsnbPXcAIj8ri.jpg""""mediaurlhttps"":""https:\/\/pbs.twimg.com\/media\/EpNsnbPXcAIj8ri.jpg""""url"":""https:\/\/t.co\/PryOwLIyYS""""displayurl"":""pic.twitter.com\/PryOwLIyYS""""expandedurl"":""https:\/\/twitter.com\/pedagogicz\/status\/1338532942809849860\/photo\/1""""type"":""photo""""sizes"":""thumb"":""w"":150""h"":150""resize"":""crop""""small"":""w"":603""h"":680""resize"":""fit""""medium"":""w"":1064""h"":1200""resize"":""fit""""large"":""w"":1125""h"":1269""resize"":""fit""""favorited"":false""retweeted"":false""possiblysensitive"":false""filterlevel"":""low""""lang"":""en""""timestampms"":""1607966096962"""
Mon Dec 14 17:14:57 +0000 2020, EmeraldRobinson: It's time to check that CCP database for familiar American names.
Mon Dec 14 17:14:57 +0000 2020, Rothbard1776: Hilarious.
Mon Dec 14 17:14:57 +0000 2020," theMRC: .SenRonJohnson calls out Joe Biden for not being \""honest\"" with Americans regarding his family's foreign business dealings. htt\u2026"
Mon Dec 14 17:14:57 +0000 2020, BGOV: Members of the Electoral College meet today to officially elect Joe Biden a moment some GOP lawmakers have targeted as the end o\u2026
Mon Dec 14 17:14:57 +0000 2020, JimJordan: If Joe Biden had nothing to do with Hunter Biden\u2019s business dealings then why did Hunter request that his dad have a key t\u2026
Mon Dec 14 17:14:57 +0000 2020," CodeMonkeyZ: Senator Lamar Alexander says Trump should \""put the country first\"" and congratulate Joe Biden.\n\nThis is a photo of Senator\u2026"
Mon Dec 14 17:14:57 +0000 2020, ThyConsigliori: 14 December 2020 MAGAanalysis Overturn \n\nIt's The Waiting That's The Hardest Part\n\nYou're going to hear the the Elect\u2026
Mon Dec 14 17:14:57 +0000 2020, bluestein: I headed upstairs where Georgia\u2019s 16 Democratic electors aren\u2019t behind closed doors but assembled in the state Senate read\u2026
Mon Dec 14 17:14:57 +0000 2020,"https:\/\/t.co\/Q4XH3LEP1J""""displaytextrange"":00""source"":""\u003ca href=\""https:\/\/mobile.twitter.com\"" rel=\""nofollow\""\u003eTwitter Web App\u003c\/a\u003e""""truncated"":false""inreplytostatusid"":null""inreplytostatusidstr"":null""inreplytouserid"":null""inreplytouseridstr"":null""inreplytoscreenname"":null""user"":""id"":1261293171256016897""idstr"":""1261293171256016897""""name"":""kts24news""""screenname"":""kts24news""""location"":null""url"":null""description"":null""translatortype"":""none""""protected"":false""verified"":false""followerscount"":49""friendscount"":259""listedcount"":3""favouritescount"":1710""statusescount"":4193""createdat"":""Fri May 15 13:51:57 +0000 2020""""utcoffset"":null""timezone"":null""geoenabled"":false""lang"":null""contributorsenabled"":false""istranslator"":false""profilebackgroundcolor"":""F5F8FA""""profilebackgroundimageurl"":""""""profilebackgroundimageurlhttps"":""""""profilebackgroundtile"":false""profilelinkcolor"":""1DA1F2""""profilesidebarbordercolor"":""C0DEED""""profilesidebarfillcolor"":""DDEEF6""""profiletextcolor"":""333333""""profileusebackgroundimage"":true""profileimageurl"":""http:\/\/pbs.twimg.com\/profileimages\/1325149202347778049\/l4g7HS1Rnormal.jpg""""profileimageurlhttps"":""https:\/\/pbs.twimg.com\/profileimages\/1325149202347778049\/l4g7HS1Rnormal.jpg""""profilebannerurl"":""https:\/\/pbs.twimg.com\/profilebanners\/1261293171256016897\/1590405392""""defaultprofile"":true""defaultprofileimage"":false""following"":null""followrequestsent"":null""notifications"":null""geo"":null""coordinates"":null""place"":null""contributors"":null""quotedstatusid"":1338327677808353280""quotedstatusidstr"":""1338327677808353280""""quotedstatus"":""createdat"":""Mon Dec 14 03:39:17 +0000 2020""""id"":1338327677808353280""idstr"":""1338327677808353280"""
Mon Dec 14 17:14:57 +0000 2020,The Biden administration can end the norm of elite impunity by opening the books on the Trump administration.\u2026 https:\/\/t.co\/YLx7n37Zky
Mon Dec 14 17:14:57 +0000 2020,Cognitive decline or flat out lying?
Mon Dec 14 17:14:58 +0000 2020,Interesting that they use paper ballots...
Mon Dec 14 17:14:58 +0000 2020, ScottAdamsSays: Things we know for sure:\n\n1. Joe Biden ran for president because he fell for the Fine People Hoax -- the most debunked\u2026
Mon Dec 14 17:14:58 +0000 2020, JimJordan: If Joe Biden had nothing to do with Hunter Biden\u2019s business dealings then why did Hunter request that his dad have a key t\u2026
Mon Dec 14 17:14:58 +0000 2020, mspdcali: DrBiden You and your family have already diminished the American family... by selling out our country to China! You\u2019re just\u2026
Mon Dec 14 17:14:58 +0000 2020, MajorPatriot: Joe Biden's lawyers should probably go over his speech with a fine toothed comb before he gives it tonight.
Mon Dec 14 17:14:59 +0000 2020, RudyGiuliani: Doesn't the MSM care that Joe Biden was in a business partnership with the Chinese Communists?
Mon Dec 14 17:14:59 +0000 2020,ProsecuteDemElectionFraud DemocratsCheat DemocratCorruption MAGA2020 GoneToParler StopTheSteal
Mon Dec 14 17:14:59 +0000 2020, 209jsuh: what is joe biden's plan to get rid of the snow app
Mon Dec 14 17:14:59 +0000 2020, kylegriffin1: MADISON Wis. (AP) \u2014 Wisconsin Supreme Court rules against Trump's attempt to overturn his loss to Democrat Joe Biden in\u2026
Mon Dec 14 17:14:59 +0000 2020, AngelWarrior321: Joe Biden didn\u2019t win.....they cheated. Everyone retweet and drive The censors crazy\ufffc!!!\n\u201cCopy and paste\ufffc\u201d
Mon Dec 14 17:14:59 +0000 2020,Donald Trump Has Hidden Evidence Of His Crimes For Years. Joe Biden Can Expose It. https:\/\/t.co\/CUs7XHyJKT SmartNews
Mon Dec 14 17:15:00 +0000 2020, DoYouEvenLif: I have some very bizarre and extremely rare news to report as we approach the noon hour. You might have to sit down for t\u2026
Mon Dec 14 17:15:00 +0000 2020,Agree!!!
Mon Dec 14 17:15:00 +0000 2020,Joe Biden just won Wisconsin again
Mon Dec 14 17:15:00 +0000 2020,Coming up on TDRlive: Presidential electors have begun casting votes to formally choose Joe Biden as nation\u2019s next\u2026 https:\/\/t.co\/vPbApr5VRi
Mon Dec 14 17:15:00 +0000 2020, MajorPatriot: Joe Biden's lawyers should probably go over his speech with a fine toothed comb before he gives it tonight.
Mon Dec 14 17:15:00 +0000 2020,"Sen. candidate Jon Ossoff: \""Mitch McConnell is going to try to do to Joe Biden and Kamala Harris exactly like he tr\u2026 https:\/\/t.co\/zSA9tKGft9""""displaytextrange"":0140""source"":""\u003ca href=\""https:\/\/studio.twitter.com\"" rel=\""nofollow\""\u003eTwitter Media Studio\u003c\/a\u003e""""truncated"":true""inreplytostatusid"":null""inreplytostatusidstr"":null""inreplytouserid"":null""inreplytouseridstr"":null""inreplytoscreenname"":null""user"":""id"":1917731""idstr"":""1917731""""name"":""The Hill""""screenname"":""thehill""""location"":""Washington DC""""url"":""http:\/\/www.thehill.com""""description"":""The Hill is the premier source for policy and political news. Follow for tweets on what's happening in Washington breaking news and retweets of our reporters.""""translatortype"":""none""""protected"":false""verified"":true""followerscount"":4054573""friendscount"":268""listedcount"":27650""favouritescount"":10""statusescount"":816419""createdat"":""Thu Mar 22 18:15:18 +0000 2007""""utcoffset"":null""timezone"":null""geoenabled"":false""lang"":null""contributorsenabled"":false""istranslator"":false""profilebackgroundcolor"":""9AE4E8""""profilebackgroundimageurl"":""http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""""profilebackgroundimageurlhttps"":""https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""""profilebackgroundtile"":true""profilelinkcolor"":""FF0021""""profilesidebarbordercolor"":""ADADAA""""profilesidebarfillcolor"":""EBEBEB""""profiletextcolor"":""000000""""profileusebackgroundimage"":true""profileimageurl"":""http:\/\/pbs.twimg.com\/profileimages\/907330975587336193\/tw7JPE5vnormal.jpg""""profileimageurlhttps"":""https:\/\/pbs.twimg.com\/profileimages\/907330975587336193\/tw7JPE5vnormal.jpg""""profilebannerurl"":""https:\/\/pbs.twimg.com\/profilebanners\/1917731\/1434034905""""defaultprofile"":false""defaultprofileimage"":false""following"":null""followrequestsent"":null""notifications"":null""geo"":null""coordinates"":null""place"":null""contributors"":null""isquotestatus"":false""extendedtweet"":""fulltext"":""Sen. candidate Jon Ossoff: \""Mitch McConnell is going to try to do to Joe Biden and Kamala Harris exactly like he tried to do to President Obama.\"" https:\/\/t.co\/Y5yaK0II0R""""displaytextrange"":0145""entities"":""hashtags"":""urls"":""usermentions"":""symbols"":""media"":""id"":1338321049474248707""idstr"":""1338321049474248707""""indices"":146169""additionalmediainfo"":""title"":""""""description"":""""""embeddable"":true""monetizable"":true""mediaurl"":""http:\/\/pbs.twimg.com\/amplifyvideothumb\/1338321049474248707\/img\/eg4mHAkdkxJr8gc6.jpg""""mediaurlhttps"":""https:\/\/pbs.twimg.com\/amplifyvideothumb\/1338321049474248707\/img\/eg4mHAkdkxJr8gc6.jpg""""url"":""https:\/\/t.co\/Y5yaK0II0R""""displayurl"":""pic.twitter.com\/Y5yaK0II0R""""expandedurl"":""https:\/\/twitter.com\/thehill\/status\/1338532956537667584\/video\/1""""type"":""video""""videoinfo"":""aspectratio"":169""durationmillis"":206925""variants"":""contenttype"":""application\/x-mpegURL""""url"":""https:\/\/video.twimg.com\/amplifyvideo\/1338321049474248707\/pl\/WINfUFOVekBLmicY.m3u8?tag=13""""bitrate"":288000""contenttype"":""video\/mp4""""url"":""https:\/\/video.twimg.com\/amplifyvideo\/1338321049474248707\/vid\/480x270\/nCjCsgyuznLDMYZ.mp4?tag=13""""bitrate"":832000""contenttype"":""video\/mp4""""url"":""https:\/\/video.twimg.com\/amplifyvideo\/1338321049474248707\/vid\/640x360\/ccPwT-WbvXkH1sjz.mp4?tag=13""""sizes"":""thumb"":""w"":150""h"":150""resize"":""crop""""large"":""w"":640""h"":360""resize"":""fit""""medium"":""w"":640""h"":360""resize"":""fit""""small"":""w"":640""h"":360""resize"":""fit""""extendedentities"":""media"":""id"":1338321049474248707""idstr"":""1338321049474248707""""indices"":146169""additionalmediainfo"":""title"":""""""description"":""""""embeddable"":true""monetizable"":true""mediaurl"":""http:\/\/pbs.twimg.com\/amplifyvideothumb\/1338321049474248707\/img\/eg4mHAkdkxJr8gc6.jpg""""mediaurlhttps"":""https:\/\/pbs.twimg.com\/amplifyvideothumb\/1338321049474248707\/img\/eg4mHAkdkxJr8gc6.jpg""""url"":""https:\/\/t.co\/Y5yaK0II0R""""displayurl"":""pic.twitter.com\/Y5yaK0II0R""""expandedurl"":""https:\/\/twitter.com\/thehill\/status\/1338532956537667584\/video\/1""""type"":""video""""videoinfo"":""aspectratio"":169""durationmillis"":206925""variants"":""contenttype"":""application\/x-mpegURL""""url"":""https:\/\/video.twimg.com\/amplifyvideo\/1338321049474248707\/pl\/WINfUFOVekBLmicY.m3u8?tag=13""""bitrate"":288000""contenttype"":""video\/mp4""""url"":""https:\/\/video.twimg.com\/amplifyvideo\/1338321049474248707\/vid\/480x270\/nCjCsgyuznLDMYZ.mp4?tag=13""""bitrate"":832000""contenttype"":""video\/mp4""""url"":""https:\/\/video.twimg.com\/amplifyvideo\/1338321049474248707\/vid\/640x360\/ccPwT-WbvXkH1sjz.mp4?tag=13""""sizes"":""thumb"":""w"":150""h"":150""resize"":""crop""""large"":""w"":640""h"":360""resize"":""fit""""medium"":""w"":640""h"":360""resize"":""fit""""small"":""w"":640""h"":360""resize"":""fit""""quotecount"":0""replycount"":0""retweetcount"":0""favoritecount"":0""entities"":""hashtags"":""urls"":""url"":""https:\/\/t.co\/zSA9tKGft9""""expandedurl"":""https:\/\/twitter.com\/i\/web\/status\/1338532956537667584""""displayurl"":""twitter.com\/i\/web\/status\/1\u2026""""indices"":117140""usermentions"":""symbols"":""favorited"":false""retweeted"":false""possiblysensitive"":false""filterlevel"":""low""""lang"":""en""""timestampms"":""1607966100235"""
Mon Dec 14 17:15:00 +0000 2020, realDerekUtley: Joe Biden and his staff can\u2019t even pass the foreign agent or foreign conflicts of interests rule in the enhanced Presid\u2026
Mon Dec 14 17:15:00 +0000 2020, kylegriffin1: So Joe Biden just won Wisconsin again.
Mon Dec 14 17:15:00 +0000 2020, MajorPatriot: Joe Biden's lawyers should probably go over his speech with a fine toothed comb before he gives it tonight.
Mon Dec 14 17:15:00 +0000 2020, MajorPatriot: Joe Biden's lawyers should probably go over his speech with a fine toothed comb before he gives it tonight.
Mon Dec 14 17:15:00 +0000 2020, KelemenCari: There is no way Joe Biden will even be issued a security clearance.\n- Rudy Giuliani
Mon Dec 14 17:15:00 +0000 2020, MajorPatriot: Today the electoral college meets to elect Joe Biden and I couldn't be more excited.\n\nThis is the best movie I've ever ev\u2026
Mon Dec 14 17:15:01 +0000 2020,\ud83d\ude21\ud83d\ude21\ud83d\ude21\ud83d\ude21\ud83d\ude21\ud83d\ude21\ud83d\ude21\ud83d\ude21\ud83d\ude21
Mon Dec 14 17:15:01 +0000 2020, JimJordan: If Joe Biden had nothing to do with Hunter Biden\u2019s business dealings then why did Hunter request that his dad have a key t\u2026
Mon Dec 14 17:15:01 +0000 2020, javier3carrion: ElDiestroInformeRitter (XVIII) La enorme importancia de la orden ejecutiva 13848 m\u00e1s evidencias contra Joe Biden y e\u2026
Mon Dec 14 17:15:01 +0000 2020,"GenFlynn realDonaldTrump POTUS VP DanScavino SidneyPowell1 RudyGiuliani JennaEllisEsq abigailcfrye Why did\u2026 https:\/\/t.co\/anu5bF8R4U""""displaytextrange"":108140""source"":""\u003ca href=\""http:\/\/twitter.com\/download\/iphone\"" rel=\""nofollow\""\u003eTwitter for iPhone\u003c\/a\u003e""""truncated"":true""inreplytostatusid"":1338532897150611456""inreplytostatusidstr"":""1338532897150611456""""inreplytouserid"":240454812""inreplytouseridstr"":""240454812""""inreplytoscreenname"":""GenFlynn""""user"":""id"":1295078661104836618""idstr"":""1295078661104836618""""name"":""The Success Project""""screenname"":""PoliticOnDemand""""location"":""Panama City Beach FL""""url"":null""description"":""Entrepreneur Education Curriculum Developer Certified Educator Security Operations Specialist. I plant seeds for others to harvest. Romans 8:28""""translatortype"":""none""""protected"":false""verified"":false""followerscount"":1148""friendscount"":160""listedcount"":1""favouritescount"":11606""statusescount"":9688""createdat"":""Sun Aug 16 19:23:22 +0000 2020""""utcoffset"":null""timezone"":null""geoenabled"":false""lang"":null""contributorsenabled"":false""istranslator"":false""profilebackgroundcolor"":""F5F8FA""""profilebackgroundimageurl"":""""""profilebackgroundimageurlhttps"":""""""profilebackgroundtile"":false""profilelinkcolor"":""1DA1F2""""profilesidebarbordercolor"":""C0DEED""""profilesidebarfillcolor"":""DDEEF6""""profiletextcolor"":""333333""""profileusebackgroundimage"":true""profileimageurl"":""http:\/\/pbs.twimg.com\/profileimages\/1301238085531860992\/-6YuAlZWnormal.jpg""""profileimageurlhttps"":""https:\/\/pbs.twimg.com\/profileimages\/1301238085531860992\/-6YuAlZWnormal.jpg""""defaultprofile"":true""defaultprofileimage"":false""following"":null""followrequestsent"":null""notifications"":null""geo"":null""coordinates"":null""place"":null""contributors"":null""isquotestatus"":false""extendedtweet"":""fulltext"":""GenFlynn realDonaldTrump POTUS VP DanScavino SidneyPowell1 RudyGiuliani JennaEllisEsq abigailcfrye Why did the forensic audit of the Dominion machines in Michigan reveal a 68.05% error rate in favor of Joe Biden during numerous tests? It is time for an Executive Order to impound all Dominion machines for a forensic investigation!""""displaytextrange"":108340""entities"":""hashtags"":""urls"":""usermentions"":""screenname"":""GenFlynn""""name"":""General Flynn""""id"":240454812""idstr"":""240454812""""indices"":09""screenname"":""realDonaldTrump""""name"":""Donald J. Trump""""id"":25073877""idstr"":""25073877""""indices"":1026""screenname"":""POTUS""""name"":""President Trump""""id"":822215679726100480""idstr"":""822215679726100480""""indices"":2733""screenname"":""VP""""name"":""Vice President Mike Pence""""id"":818910970567344128""idstr"":""818910970567344128""""indices"":3437""screenname"":""DanScavino""""name"":""Dan Scavino\ud83c\uddfa\ud83c\uddf8\ud83e\udd85""""id"":620571475""idstr"":""620571475""""indices"":3849""screenname"":""SidneyPowell1""""name"":""Sidney Powell \ud83c\uddfa\ud83c\uddf8\u2b50\u2b50\u2b50""""id"":586707638""idstr"":""586707638""""indices"":5064""screenname"":""RudyGiuliani""""name"":""Rudy W. Giuliani""""id"":770781940341288960""idstr"":""770781940341288960""""indices"":6578""screenname"":""JennaEllisEsq""""name"":""Jenna Ellis""""id"":778763106289758208""idstr"":""778763106289758208""""indices"":7993""screenname"":""abigailcfrye""""name"":""Abigail (Abbie) Frye \u2b50\ufe0f\u2b50\ufe0f\u2b50\ufe0f""""id"":2251103190""idstr"":""2251103190""""indices"":94107""symbols"":""quotecount"":0""replycount"":0""retweetcount"":0""favoritecount"":0""entities"":""hashtags"":""urls"":""url"":""https:\/\/t.co\/anu5bF8R4U""""expandedurl"":""https:\/\/twitter.com\/i\/web\/status\/1338532960522350597""""displayurl"":""twitter.com\/i\/web\/status\/1\u2026""""indices"":117140""usermentions"":""screenname"":""GenFlynn""""name"":""General Flynn""""id"":240454812""idstr"":""240454812""""indices"":09""screenname"":""realDonaldTrump""""name"":""Donald J. Trump""""id"":25073877""idstr"":""25073877""""indices"":1026""screenname"":""POTUS""""name"":""President Trump""""id"":822215679726100480""idstr"":""822215679726100480""""indices"":2733""screenname"":""VP""""name"":""Vice President Mike Pence""""id"":818910970567344128""idstr"":""818910970567344128""""indices"":3437""screenname"":""DanScavino""""name"":""Dan Scavino\ud83c\uddfa\ud83c\uddf8\ud83e\udd85""""id"":620571475""idstr"":""620571475""""indices"":3849""screenname"":""SidneyPowell1""""name"":""Sidney Powell \ud83c\uddfa\ud83c\uddf8\u2b50\u2b50\u2b50""""id"":586707638""idstr"":""586707638""""indices"":5064""screenname"":""RudyGiuliani""""name"":""Rudy W. Giuliani""""id"":770781940341288960""idstr"":""770781940341288960""""indices"":6578""screenname"":""JennaEllisEsq""""name"":""Jenna Ellis""""id"":778763106289758208""idstr"":""778763106289758208""""indices"":7993""screenname"":""abigailcfrye""""name"":""Abigail (Abbie) Frye \u2b50\ufe0f\u2b50\ufe0f\u2b50\ufe0f""""id"":2251103190""idstr"":""2251103190""""indices"":94107""symbols"":""favorited"":false""retweeted"":false""filterlevel"":""low""""lang"":""en""""timestampms"":""1607966101185"""
Mon Dec 14 17:15:01 +0000 2020, robertemilem: PeteButtigieg is staggeringly overqualified to be Secretary of Transportation. Offering him that position would be a tre\u2026
